"Filename","Camera","Date","Bay","Coral location","Lat","Lon","Species","Count","Classified by","Length (cm)","Width (cm)","Area (cm2)","Measured by","Link"
"P20500232","BLACK",2026-02-05,"NB","B",18.3457717951387,-64.6915296837687,,,,,,,,
"P20500242","BLACK",2026-02-05,"NB","B",18.3463896252215,-64.6914599463344,,,,,,,,
"P20500252","BLACK",2026-02-05,"NB","B",18.3463942352682,-64.6914636343718,,,,,,,,
"P20500262","BLACK",2026-02-05,"NB","B",18.3463923912495,-64.6914567612112,,,,,,,,
"P20500272","BLACK",2026-02-05,"NB","B",18.3463904634118,-64.6914650592953,,,,,,,,
"P20500282","BLACK",2026-02-05,"NB","B",18.3463901281357,-64.6914684120566,,,,,,,,
"P20500292","BLACK",2026-02-05,"NB","B",18.3463864400983,-64.6914690826088,,,,,,,,
"P20500302","BLACK",2026-02-05,"NB","B",18.3463887032121,-64.6914651431143,,,,,,,,
"P20500312","BLACK",2026-02-05,"NB","B",18.3463820815086,-64.6914633829147,,,,,,,,
"P20500322","BLACK",2026-02-05,"NB","B",18.3463833387941,-64.6914653945714,,,,,,,,
"P20500332","BLACK",2026-02-05,"NB","B",18.3463824167848,-64.6914601139724,,,,,,,,
"P20500342","BLACK",2026-02-05,"NB","B",18.3463871106505,-64.6914576832205,,,,,,,,
"P20500352","BLACK",2026-02-05,"NB","B",18.3463822491467,-64.6914639696479,,,,,,,,
"P20500362","BLACK",2026-02-05,"NB","B",18.3463784772903,-64.6914663165808,,,,,,,,
"P20500372","BLACK",2026-02-05,"NB","B",18.3463780581951,-64.6914688311517,,,,,,,,
"P20500382","BLACK",2026-02-05,"NB","B",18.3463828358799,-64.6914664842188,,,,,,,,
"P20500392","BLACK",2026-02-05,"NB","B",18.3463809080422,-64.6914638020098,,,,,,,,
"P20500402","BLACK",2026-02-05,"NB","B",18.3464319538325,-64.6914417576045,,,,,,,,
"P20500412","BLACK",2026-02-05,"NB","B",18.346422566101,-64.6914557553828,,,,,,,,
"P20500422","BLACK",2026-02-05,"NB","B",18.3464181236923,-64.6914583537728,,,,,,,,
"P20500432","BLACK",2026-02-05,"NB","B",18.3464040420949,-64.6914182044566,,,,,,,,
"P20500442","BLACK",2026-02-05,"NB","B",18.3464043773711,-64.6914278436452,,,,,,,,
"P20500452","BLACK",2026-02-05,"NB","B",18.3464101608843,-64.6914348844439,,,,,,,,
"P20500462","BLACK",2026-02-05,"NB","B",18.3464175369591,-64.6914280112833,,,,,,,,
"P20500472","BLACK",2026-02-05,"NB","B",18.3464079815894,-64.6914286818355,,,,,,,,
"P20500482","BLACK",2026-02-05,"NB","B",18.3464074786752,-64.6914288494736,,,,,,,,
"P20500492","BLACK",2026-02-05,"NB","B",18.3464044611901,-64.6914301905781,,,,,,,,
"P20500502","BLACK",2026-02-05,"NB","B",18.3463915530592,-64.6914303582162,,,,,,,,
"P20500512","BLACK",2026-02-05,"NB","B",18.3463876973838,-64.6914306934923,,,,,,,,
"P20500522","BLACK",2026-02-05,"NB","B",18.3463947381824,-64.6914310287684,,,,,,,,
"P20500532","BLACK",2026-02-05,"NB","B",18.3463925588876,-64.69143781811,,,,,,,,
"P20500542","BLACK",2026-02-05,"NB","B",18.346390966326,-64.691443182528,,,,,,,,
"P20500552","BLACK",2026-02-05,"NB","B",18.3463949896395,-64.6914414223284,,,,,,,,
"P20500562","BLACK",2026-02-05,"NB","B",18.3463835902512,-64.6914395783097,,,,,,,,
"P20500572","BLACK",2026-02-05,"NB","B",18.3463906310499,-64.6914466191083,,,,,,,,
"P20500582","BLACK",2026-02-05,"NB","B",18.3463958278298,-64.6914472058415,,,,,,,,
"P20500592","BLACK",2026-02-05,"NB","B",18.3463985100389,-64.6914557553828,,,,,,,,
"P20500602","BLACK",2026-02-05,"NB","B",18.3463978394866,-64.6914579346776,,,,,,,,
"P20500612","BLACK",2026-02-05,"NB","B",18.3463876973838,-64.6914521511644,,,,,,,,
"P20500622","BLACK",2026-02-05,"NB","B",18.346390882507,-64.6914418414235,,,,,,,,
"P20500632","BLACK",2026-02-05,"NB","B",18.3463945705444,-64.6914436854422,,,,,,,,
"P20500642","BLACK",2026-02-05,"NB","B",18.3463911339641,-64.6914475411177,,,,,,,,
"P20500652","BLACK",2026-02-05,"NB","B",18.3463898766786,-64.691448546946,,,,,,,,
"P20500662","BLACK",2026-02-05,"NB","B",18.3463833387941,-64.6914365608245,,,,,,,,
"P20500672","BLACK",2026-02-05,"NB","B",18.3463858533651,-64.6914385724813,,,,,,,,
"P20500682","BLACK",2026-02-05,"NB","B",18.3463877812028,-64.6914392430335,,,,,,,,
"P20500692","BLACK",2026-02-05,"NB","B",18.3463834226131,-64.6914348006248,,,,,,,,
"P20500702","BLACK",2026-02-05,"NB","B",18.3463726099581,-64.6914218086749,,,,,,,,
"P20500712","BLACK",2026-02-05,"NB","B",18.3463667426258,-64.6914503909647,,,,,,,,
"P20500722","BLACK",2026-02-05,"NB","B",18.3463633060455,-64.6914373151958,,,,,,,,
"P20500732","BLACK",2026-02-05,"NB","B",18.3463769685477,-64.6914547495544,,,,,,,,
"P20500742","BLACK",2026-02-05,"NB","B",18.3463720232248,-64.691451145336,,,,,,,,
"P20500752","BLACK",2026-02-05,"NB","B",18.3463682513684,-64.6914391592145,,,,,,,,
"P20500762","BLACK",2026-02-05,"NB","B",18.3463584445417,-64.6914543304592,,,,,,,,
"P20500772","BLACK",2026-02-05,"NB","B",18.3463581930846,-64.6914574317634,,,,,,,,
"P20500782","BLACK",2026-02-05,"NB","B",18.3463536668569,-64.6914534922689,,,,,,,,
"P20500792","BLACK",2026-02-05,"NB","B",18.3463501464576,-64.6914477925748,,,,,,,,
"P20500802","BLACK",2026-02-05,"NB","B",18.3463534153998,-64.6914452780038,,,,,,,,
"P20500812","BLACK",2026-02-05,"NB","B",18.3463766332716,-64.6914664003998,,,,,,,,
"P20500822","BLACK",2026-02-05,"NB","B",18.346383087337,-64.6914580184966,,,,,,,,
"P20500832","BLACK",2026-02-05,"NB","B",18.3463868591934,-64.6914541628212,,,,,,,,
"P20500842","BLACK",2026-02-05,"NB","B",18.346388367936,-64.6914463676512,,,,,,,,
"P20500852","BLACK",2026-02-05,"NB","B",18.3463933970779,-64.6914539113641,,,,,,,,
"P20500862","BLACK",2026-02-05,"NB","B",18.3464006893337,-64.6914578508586,,,,,,,,
