Filename,Camera,Date,Bay,Location,Lat,Lon,Length (cm),Width (cm),Area (cm2),Species,Count,Entered by,Image
P2050002,Blue,2/5/26,NB,,18.3454299,-64.69247357,,,,"SRAD,MARE","1,1",,
P2050003,Blue,2/5/26,NB,,18.34541246,-64.69246804,,,,SRAD,2,,
P2050004,Blue,2/5/26,NB,,18.34541498,-64.69248321,,,,SRAD,,,
P2050005,Blue,2/5/26,NB,,18.34542856,-64.69249763,,,,SRAD,2,,
P2050006,Blue,2/5/26,NB,,18.3454081,-64.69249385,,,,SRAD,,,
P2050007,Blue,2/5/26,NB,,18.34540986,-64.69249721,,,,MARE,3,,
P2050008,Blue,2/5/26,NB,,18.34537047,-64.69247273,,,,MARE,2,,
P2050009,Blue,2/5/26,NB,,18.34536226,-64.69249017,,,,SRAD,5,,
P2050010,Blue,2/5/26,NB,,18.34534717,-64.69248639,,,,SRAD,,,
P2050011,Blue,2/5/26,NB,,18.34533853,-64.69247608,,,,SRAD,6,,
P2050012,Blue,2/5/26,NB,,18.34537684,-64.69247692,,,,SRAD,,,
P2050013,Blue,2/5/26,NB,,18.34537617,-64.69247097,,,,SRAD,,,
P2050014,Blue,2/5/26,NB,,18.34536343,-64.69247022,,,,SRAD,,,
P2050015,Blue,2/5/26,NB,,18.34535966,-64.69247784,,,,"SRAD,MARE","1,1",,
P2050016,Blue,2/5/26,NB,,18.34536754,-64.69247558,,,,SRAD,2,,
P2050017,Blue,2/5/26,NB,,18.34536678,-64.69248078,,,,PAST,,,
P2050018,Blue,2/5/26,NB,,18.3453708,-64.69248321,,,,SRAD,,,
P2050019,Blue,2/5/26,NB,,18.34536754,-64.69247013,,,,PORI,,,
P2050020,Blue,2/5/26,NB,,18.34537793,-64.69246921,,,,MARE,,,
P2050021,Blue,2/5/26,NB,,18.34537139,-64.69246787,,,,MARE,,,
P2050022,Blue,2/5/26,NB,,18.34536058,-64.69245672,,,,SRAD,2,,
P2050023,Blue,2/5/26,NB,,18.34535572,-64.69245513,,,,SRAD,,,
P2050024,Blue,2/5/26,NB,,18.3453605,-64.69245312,,,,MARE,,,
P2050025,Blue,2/5/26,NB,,18.34537625,-64.69245211,,,,MARE,,,
P2050026,Blue,2/5/26,NB,,18.34537558,-64.69245429,,,,PAST,,,
P2050027,Blue,2/5/26,NB,,18.34538187,-64.69245329,,,,SRAD,,,
P2050028,Blue,2/5/26,NB,,18.34539,-64.69244893,,,,SRAD,,,
P2050029,Blue,2/5/26,NB,,18.34538338,-64.69243954,,,,PAST,,,
P2050030,Blue,2/5/26,NB,,18.34536863,-64.69244013,,,,PBRA,,,
P2050031,Blue,2/5/26,NB,,18.34537416,-64.69243904,,,,PBRA,,,
P2050032,Blue,2/5/26,NB,,18.34540593,-64.69244901,,,,SRAD,,,
P2050033,Blue,2/5/26,NB,,18.34540685,-64.69245572,,,,SRAD,,,
P2050034,Blue,2/5/26,NB,,18.3453755,-64.69244951,,,,SRAD,,,
P2050035,Blue,2/5/26,NB,,18.34537491,-64.69240786,,,,PAST,,,
P2050036,Blue,2/5/26,NB,,18.34536821,-64.69240408,,,,PAST,,,
P2050038,Blue,2/5/26,NB,,18.34542101,-64.69243074,,,,MARE,,,
P2050039,Blue,2/5/26,NB,,18.34541758,-64.69242747,,,,SRAD,,,
P2050041,Blue,2/5/26,NB,,18.34541716,-64.69242848,,,,PAST,,,
P2050042,Blue,2/5/26,NB,,18.34543006,-64.69244272,,,,MARE,,,
P2050043,Blue,2/5/26,NB,,18.34540836,-64.69239545,,,,PAST,,,
P2050045,Blue,2/5/26,NB,,18.34538371,-64.69237123,,,,PBRA,,,
P2050046,Blue,2/5/26,NB,,18.34539025,-64.69237802,,,,PBRA,,,
P2050047,Blue,2/5/26,NB,,18.3453967,-64.69238548,,,,PBRA,,,
P2050048,Blue,2/5/26,NB,,18.34542696,-64.69237383,,,,MARE,,,
P2050051,Blue,2/5/26,NB,,18.34540978,-64.69236108,,,,PORI,,,
P2050052,Blue,2/5/26,NB,,18.34543107,-64.69235497,,,,PBRA,,,
P2050053,Blue,2/5/26,NB,,18.34542772,-64.69235773,,,,SSID,,,
P2050054,Blue,2/5/26,NB,,18.34540643,-64.69236134,,,,PBRA,,,
P2050055,Blue,2/5/26,NB,,18.34544507,-64.69232437,,,,SSID,,,
P2050056,Blue,2/5/26,NB,,18.34543602,-64.69233954,,,,PBRA,,,
P2050058,Blue,2/5/26,NB,,18.34544247,-64.69231406,,,,PAST,,,
P2050059,Blue,2/5/26,NB,,18.34543141,-64.69231473,,,,PBRA,,,
P2050060,Blue,2/5/26,NB,,18.34542235,-64.69231457,,,,SRAD,,,
P2050061,Blue,2/5/26,NB,,18.34542914,-64.69232085,,,,PAST,,,
P2050062,Blue,2/5/26,NB,,18.34544146,-64.69231272,,,,PAST,,,
P2050063,Blue,2/5/26,NB,,18.34543191,-64.69231172,,,,PORI,,,
P2050064,Blue,2/5/26,NB,,18.3454273,-64.69231985,,,,SRAD,,,
P2050065,Blue,2/5/26,NB,,18.34541447,-64.69233032,,,,PBRA,,,
P2050066,Blue,2/5/26,NB,,18.34540349,-64.69233502,,,,PORI,,,
P2050067,Blue,2/5/26,NB,,18.34540064,-64.6923346,,,,SSID,,,
P2050068,Blue,2/5/26,NB,,18.34540593,-64.6923351,,,,SSID,,,
P2050069,Blue,2/5/26,NB,,18.3454045,-64.69231515,,,,SSID,,,
P2050070,Blue,2/5/26,NB,,18.34540869,-64.69229939,,,,MARE,,,
P2050071,Blue,2/5/26,NB,,18.34541146,-64.6922911,,,,PAST,,,
P2050072,Blue,2/5/26,NB,,18.34543124,-64.69230551,,,,PAST,,,
P2050073,Blue,2/5/26,NB,,18.34540282,-64.69228137,,,,PAST,,,
P2050074,Blue,2/5/26,NB,,18.34540123,-64.69230895,,,,PORI,,,
P2050075,Blue,2/5/26,NB,,18.34538925,-64.69232152,,,,SRAD,,,
P2050076,Blue,2/5/26,NB,,18.345419,-64.69232035,,,,PBRA,,,
P2050077,Blue,2/5/26,NB,,18.34541716,-64.69229361,,,,MARE,,,
P2050078,Blue,2/5/26,NB,,18.34541749,-64.69228917,,,,PAST,,,
P2050079,Blue,2/5/26,NB,,18.34539947,-64.69230903,,,,PBRA,,,
P2050080,Blue,2/5/26,NB,,18.34541942,-64.69232462,,,,PBRA,,,
P2050081,Blue,2/5/26,NB,,18.34541615,-64.6923294,,,,PORI,,,
P2050082,Blue,2/5/26,NB,,18.34541489,-64.69227701,,,,PBRA,,,
P2050083,Blue,2/5/26,NB,,18.34541699,-64.69229227,,,,PBRA,,,
P2050084,Blue,2/5/26,NB,,18.34541699,-64.69230602,,,,PBRA,,,
P2050085,Blue,2/5/26,NB,,18.34541297,-64.69230023,,,,MARE,,,
P2050086,Blue,2/5/26,NB,,18.34541196,-64.69229554,,,,PBRA,,,
P2050087,Blue,2/5/26,NB,,18.34540928,-64.69229772,,,,PBRA,,,
P2050088,Blue,2/5/26,NB,,18.34541816,-64.69229051,,,,PAST,,,
P2050089,Blue,2/5/26,NB,,18.34540282,-64.69228171,,,,MARE,,,
P2050090,Blue,2/5/26,NB,,18.34540115,-64.692275,,,,PBRA,,,
P2050091,Blue,2/5/26,NB,,18.34542654,-64.69224986,,,,PBRA,,,
P2050092,Blue,2/5/26,NB,,18.34541825,-64.69226142,,,,PBRA,,,
P2050093,Blue,2/5/26,NB,,18.34541121,-64.69228305,,,,PAST,,,
P2050094,Blue,2/5/26,NB,,18.34541171,-64.69227643,,,,SRAD,,,
P2050095,Blue,2/5/26,NB,,18.34542059,-64.69226587,,,,PAST,,,
P2050096,Blue,2/5/26,NB,,18.34541623,-64.69227165,,,,PBRA,,,
P2050097,Blue,2/5/26,NB,,18.34541967,-64.69224701,,,,PBRA,,,
P2050098,Blue,2/5/26,NB,,18.34542269,-64.69224265,,,,PAST,,,
P2050099,Blue,2/5/26,NB,,18.34543593,-64.69225732,,,,SRAD,,,
P2050100,Blue,2/5/26,NB,,18.34543752,-64.69226042,,,,PBRA,,,
P2050101,Blue,2/5/26,NB,,18.34544021,-64.69225128,,,,PBRA,,,
P2050102,Blue,2/5/26,NB,,18.34545286,-64.69224189,,,,PBRA,,,
P2050104,Blue,2/5/26,NB,,18.34545169,-64.69224055,,,,PBRA,,,
P2050105,Blue,2/5/26,NB,,18.34544373,-64.69224558,,,,PBRA,,,
P2050106,Blue,2/5/26,NB,,18.34543392,-64.69223452,,,,PAST,,,
P2050107,Blue,2/5/26,NB,,18.34543048,-64.6922351,,,,MARE,,,
P2050108,Blue,2/5/26,NB,,18.34542713,-64.69225028,,,,SRAD,,,
P2050109,Blue,2/5/26,NB,,18.34543082,-64.69224273,,,,PAST,,,
P2050110,Blue,2/5/26,NB,,18.34544457,-64.69224164,,,,PAST,,,
P2050111,Blue,2/5/26,NB,,18.34544691,-64.69222471,,,,SRAD,,,
P2050112,Blue,2/5/26,NB,,18.34545513,-64.69219839,,,,PAST,,,
P2050113,Blue,2/5/26,NB,,18.34543996,-64.69220837,,,,PBRA,,,
P2050114,Blue,2/5/26,NB,,18.34544105,-64.69221273,,,,PBRA,,,
P2050115,Blue,2/5/26,NB,,18.34543769,-64.69221842,,,,PBRA,,,
P2050116,Blue,2/5/26,NB,,18.34544071,-64.69219194,,,,SSID,,,
P2050117,Blue,2/5/26,NB,,18.34543258,-64.69219403,,,,SRAD,,,
P2050118,Blue,2/5/26,NB,,18.34547139,-64.69217316,,,,MARE,,,
P2050119,Blue,2/5/26,NB,,18.34547541,-64.6921818,,,,PAST,,,
P2050120,Blue,2/5/26,NB,,18.34547717,-64.69216654,,,,PBRA,,,
P2050122,Blue,2/5/26,NB,,18.34547851,-64.69217232,,,,SRAD,,,
P2050123,Blue,2/5/26,NB,,18.3454682,-64.6921745,,,,PBRA,,,
P2050124,Blue,2/5/26,NB,,18.34546871,-64.6921709,,,,PBRA,,,
P2050125,Blue,2/5/26,NB,,18.34547239,-64.69216227,,,,SRAD,,,
P2050126,Blue,2/5/26,NB,,18.34547273,-64.69216805,,,,PBRA,,,
P2050127,Blue,2/5/26,NB,,18.34548639,-64.69215967,,,,PBRA,,,
P2050128,Blue,2/5/26,NB,,18.34549134,-64.69216269,,,,PBRA,,,
P2050129,Blue,2/5/26,NB,,18.34548849,-64.69215598,,,,PBRA,,,
P2050130,Blue,2/5/26,NB,,18.34549821,-64.69216528,,,,SRAD,,,
P2050131,Blue,2/5/26,NB,,18.34549385,-64.6921621,,,,PAST,,,
P2050132,Blue,2/5/26,NB,,18.3454765,-64.69215673,,,,PBRA,,,
P2050133,Blue,2/5/26,NB,,18.34547206,-64.69215439,,,,PAST,,,
P2050134,Blue,2/5/26,NB,,18.34546745,-64.69216176,,,,PBRA,,,
P2050135,Blue,2/5/26,NB,,18.34547332,-64.69216109,,,,PBRA,,,
P2050136,Blue,2/5/26,NB,,18.34547566,-64.69215506,,,,SSID,,,
P2050137,Blue,2/5/26,NB,,18.34548631,-64.69214014,,,,SSID,,,
P2050138,Blue,2/5/26,NB,,18.34546326,-64.69213771,,,,"SRAD,PBRA","1,1",,
P2050139,Blue,2/5/26,NB,,18.34544364,-64.692131,,,,MARE,,,
P2050140,Blue,2/5/26,NB,,18.34543652,-64.69213285,,,,PBRA,,,
P2050142,Blue,2/5/26,NB,,18.34546342,-64.69213444,,,,PORI,,,
P2050143,Blue,2/5/26,NB,,18.34545664,-64.69212002,,,,SSID,,,
P2050144,Blue,2/5/26,NB,,18.34545831,-64.69214835,,,,SSID,,,
P2050145,Blue,2/5/26,NB,,18.34545949,-64.6921424,,,,PBRA,,,
P2050146,Blue,2/5/26,NB,,18.34543501,-64.69210812,,,,PBRA,,,
P2050147,Blue,2/5/26,NB,,18.34547633,-64.69214131,,,,SRAD,,,
P2050148,Blue,2/5/26,NB,,18.34549754,-64.69213452,,,,PAST,,,
P2050149,Blue,2/5/26,NB,,18.34549519,-64.6921258,,,,PBRA,,,
P2050150,Blue,2/5/26,NB,,18.34548916,-64.69210879,,,,PBRA,,,
P2050151,Blue,2/5/26,NB,,18.34546049,-64.69208892,,,,PAST,,,
P2050152,Blue,2/5/26,NB,,18.34544758,-64.692117,,,,PBRA,,,
P2050153,Blue,2/5/26,NB,,18.34545303,-64.69210904,,,,PAST,,,
P2050154,Blue,2/5/26,NB,,18.34546519,-64.69211273,,,,PAST,,,
P2050155,Blue,2/5/26,NB,,18.34546686,-64.69211466,,,,PBRA,,,
P2050156,Blue,2/5/26,NB,,18.34549008,-64.69213217,,,,SRAD,,,
P2050157,Blue,2/5/26,NB,,18.34547969,-64.69209312,,,,MARE,,,
