"Filename","Camera","Date","Bay","Coral location","Lat","Lon","Species","Count","Classified by","Length (cm)","Width (cm)","Area (cm2)","Measured by","Link"
"P2050023","BLACK",2026-02-05,"NB","B",18.3457717951387,-64.6915296837687,,,,,,,,
"P2050024","BLACK",2026-02-05,"NB","B",18.3463896252215,-64.6914599463344,,,,,,,,
"P2050025","BLACK",2026-02-05,"NB","B",18.3463942352682,-64.6914636343718,,,,,,,,
"P2050026","BLACK",2026-02-05,"NB","B",18.3463923912495,-64.6914567612112,,,,,,,,
"P2050027","BLACK",2026-02-05,"NB","B",18.3463904634118,-64.6914650592953,,,,,,,,
"P2050028","BLACK",2026-02-05,"NB","B",18.3463901281357,-64.6914684120566,,,,,,,,
"P2050029","BLACK",2026-02-05,"NB","B",18.3463864400983,-64.6914690826088,,,,,,,,
"P2050030","BLACK",2026-02-05,"NB","B",18.3463887032121,-64.6914651431143,,,,,,,,
"P2050031","BLACK",2026-02-05,"NB","B",18.3463820815086,-64.6914633829147,,,,,,,,
"P2050032","BLACK",2026-02-05,"NB","B",18.3463833387941,-64.6914653945714,,,,,,,,
"P2050033","BLACK",2026-02-05,"NB","B",18.3463824167848,-64.6914601139724,,,,,,,,
"P2050034","BLACK",2026-02-05,"NB","B",18.3463871106505,-64.6914576832205,,,,,,,,
"P2050035","BLACK",2026-02-05,"NB","B",18.3463822491467,-64.6914639696479,,,,,,,,
"P2050036","BLACK",2026-02-05,"NB","B",18.3463784772903,-64.6914663165808,,,,,,,,
"P2050037","BLACK",2026-02-05,"NB","B",18.3463780581951,-64.6914688311517,,,,,,,,
"P2050038","BLACK",2026-02-05,"NB","B",18.3463828358799,-64.6914664842188,,,,,,,,
"P2050039","BLACK",2026-02-05,"NB","B",18.3463809080422,-64.6914638020098,,,,,,,,
"P2050040","BLACK",2026-02-05,"NB","B",18.3464319538325,-64.6914417576045,,,,,,,,
"P2050041","BLACK",2026-02-05,"NB","B",18.346422566101,-64.6914557553828,,,,,,,,
"P2050042","BLACK",2026-02-05,"NB","B",18.3464181236923,-64.6914583537728,,,,,,,,
"P2050043","BLACK",2026-02-05,"NB","B",18.3464040420949,-64.6914182044566,,,,,,,,
"P2050044","BLACK",2026-02-05,"NB","B",18.3464043773711,-64.6914278436452,,,,,,,,
"P2050045","BLACK",2026-02-05,"NB","B",18.3464101608843,-64.6914348844439,,,,,,,,
"P2050046","BLACK",2026-02-05,"NB","B",18.3464175369591,-64.6914280112833,,,,,,,,
"P2050047","BLACK",2026-02-05,"NB","B",18.3464079815894,-64.6914286818355,,,,,,,,
"P2050048","BLACK",2026-02-05,"NB","B",18.3464074786752,-64.6914288494736,,,,,,,,
"P2050049","BLACK",2026-02-05,"NB","B",18.3464044611901,-64.6914301905781,,,,,,,,
"P2050050","BLACK",2026-02-05,"NB","B",18.3463915530592,-64.6914303582162,,,,,,,,
"P2050051","BLACK",2026-02-05,"NB","B",18.3463876973838,-64.6914306934923,,,,,,,,
"P2050052","BLACK",2026-02-05,"NB","B",18.3463947381824,-64.6914310287684,,,,,,,,
"P2050053","BLACK",2026-02-05,"NB","B",18.3463925588876,-64.69143781811,,,,,,,,
"P2050054","BLACK",2026-02-05,"NB","B",18.346390966326,-64.691443182528,,,,,,,,
"P2050055","BLACK",2026-02-05,"NB","B",18.3463949896395,-64.6914414223284,,,,,,,,
"P2050056","BLACK",2026-02-05,"NB","B",18.3463835902512,-64.6914395783097,,,,,,,,
"P2050057","BLACK",2026-02-05,"NB","B",18.3463906310499,-64.6914466191083,,,,,,,,
"P2050058","BLACK",2026-02-05,"NB","B",18.3463958278298,-64.6914472058415,,,,,,,,
"P2050059","BLACK",2026-02-05,"NB","B",18.3463985100389,-64.6914557553828,,,,,,,,
"P2050060","BLACK",2026-02-05,"NB","B",18.3463978394866,-64.6914579346776,,,,,,,,
"P2050061","BLACK",2026-02-05,"NB","B",18.3463876973838,-64.6914521511644,,,,,,,,
"P2050062","BLACK",2026-02-05,"NB","B",18.346390882507,-64.6914418414235,,,,,,,,
"P2050063","BLACK",2026-02-05,"NB","B",18.3463945705444,-64.6914436854422,,,,,,,,
"P2050064","BLACK",2026-02-05,"NB","B",18.3463911339641,-64.6914475411177,,,,,,,,
"P2050065","BLACK",2026-02-05,"NB","B",18.3463898766786,-64.691448546946,,,,,,,,
"P2050066","BLACK",2026-02-05,"NB","B",18.3463833387941,-64.6914365608245,,,,,,,,
"P2050067","BLACK",2026-02-05,"NB","B",18.3463858533651,-64.6914385724813,,,,,,,,
"P2050068","BLACK",2026-02-05,"NB","B",18.3463877812028,-64.6914392430335,,,,,,,,
"P2050069","BLACK",2026-02-05,"NB","B",18.3463834226131,-64.6914348006248,,,,,,,,
"P2050070","BLACK",2026-02-05,"NB","B",18.3463726099581,-64.6914218086749,,,,,,,,
"P2050071","BLACK",2026-02-05,"NB","B",18.3463667426258,-64.6914503909647,,,,,,,,
"P2050072","BLACK",2026-02-05,"NB","B",18.3463633060455,-64.6914373151958,,,,,,,,
"P2050073","BLACK",2026-02-05,"NB","B",18.3463769685477,-64.6914547495544,,,,,,,,
"P2050074","BLACK",2026-02-05,"NB","B",18.3463720232248,-64.691451145336,,,,,,,,
"P2050075","BLACK",2026-02-05,"NB","B",18.3463682513684,-64.6914391592145,,,,,,,,
"P2050076","BLACK",2026-02-05,"NB","B",18.3463584445417,-64.6914543304592,,,,,,,,
"P2050077","BLACK",2026-02-05,"NB","B",18.3463581930846,-64.6914574317634,,,,,,,,
"P2050078","BLACK",2026-02-05,"NB","B",18.3463536668569,-64.6914534922689,,,,,,,,
"P2050079","BLACK",2026-02-05,"NB","B",18.3463501464576,-64.6914477925748,,,,,,,,
"P2050080","BLACK",2026-02-05,"NB","B",18.3463534153998,-64.6914452780038,,,,,,,,
"P2050081","BLACK",2026-02-05,"NB","B",18.3463766332716,-64.6914664003998,,,,,,,,
"P2050082","BLACK",2026-02-05,"NB","B",18.346383087337,-64.6914580184966,,,,,,,,
"P2050083","BLACK",2026-02-05,"NB","B",18.3463868591934,-64.6914541628212,,,,,,,,
"P2050084","BLACK",2026-02-05,"NB","B",18.346388367936,-64.6914463676512,,,,,,,,
"P2050085","BLACK",2026-02-05,"NB","B",18.3463933970779,-64.6914539113641,,,,,,,,
"P2050086","BLACK",2026-02-05,"NB","B",18.3464006893337,-64.6914578508586,,,,,,,,
"P2050087","BLACK",2026-02-05,"NB","B",18.3464084845036,-64.6914645563811,,,,,,,,
"P2050088","BLACK",2026-02-05,"NB","B",18.3463793992996,-64.6914667356759,,,,,,,,
"P2050089","BLACK",2026-02-05,"NB","B",18.3463809918612,-64.6914631314576,,,,,,,,
"P2050090","BLACK",2026-02-05,"NB","B",18.3463663235307,-64.6914291009307,,,,,,,,
"P2050091","BLACK",2026-02-05,"NB","B",18.3463716879487,-64.6914030332118,,,,,,,,
"P2050092","BLACK",2026-02-05,"NB","B",18.3463472966105,-64.6914164442569,,,,,,,,
"P2050093","BLACK",2026-02-05,"NB","B",18.3463449496776,-64.6914151031524,,,,,,,,
"P2050094","BLACK",2026-02-05,"NB","B",18.3463403396308,-64.6914288494736,,,,,,,,
"P2050095","BLACK",2026-02-05,"NB","B",18.3463437762111,-64.6914196293801,,,,,,,,
"P2050096","BLACK",2026-02-05,"NB","B",18.346346039325,-64.6914146840572,,,,,,,,
"P2050097","BLACK",2026-02-05,"NB","B",18.3463334664702,-64.6914064697921,,,,,,,,
"P2050098","BLACK",2026-02-05,"NB","B",18.3463559299707,-64.6914387401193,,,,,,,,
"P2050099","BLACK",2026-02-05,"NB","B",18.346354085952,-64.6914399135858,,,,,,,,
"P2050100","BLACK",2026-02-05,"NB","B",18.3463576063514,-64.6914356388152,,,,,,,,
"P2050101","BLACK",2026-02-05,"NB","B",18.3463253360242,-64.6914202161133,,,,,,,,
"P2050102","BLACK",2026-02-05,"NB","B",18.3463244978338,-64.6914132591337,,,,,,,,
"P2050103","BLACK",2026-02-05,"NB","B",18.3463229052722,-64.6914127562195,,,,,,,,
"P2050104","BLACK",2026-02-05,"NB","B",18.3463255874813,-64.6914127562195,,,,,,,,
"P2050105","BLACK",2026-02-05,"NB","B",18.3463204745203,-64.6914213057607,,,,,,,,
"P2050106","BLACK",2026-02-05,"NB","B",18.3463153615594,-64.6914249099791,,,,,,,,
"P2050107","BLACK",2026-02-05,"NB","B",18.3463153615594,-64.6914210543036,,,,,,,,
"P2050108","BLACK",2026-02-05,"NB","B",18.3463164512068,-64.6914156898856,,,,,,,,
"P2050109","BLACK",2026-02-05,"NB","B",18.3463141042739,-64.6914233174175,,,,,,,,
"P2050110","BLACK",2026-02-05,"NB","B",18.3463311195374,-64.6914332918823,,,,,,,,
"P2050111","BLACK",2026-02-05,"NB","B",18.3463205583394,-64.6914156060666,,,,,,,,
"P2050112","BLACK",2026-02-05,"NB","B",18.3463100809604,-64.6914164442569,,,,,,,,
"P2050113","BLACK",2026-02-05,"NB","B",18.3463042136282,-64.6914251614362,,,,,,,,
"P2050114","BLACK",2026-02-05,"NB","B",18.3462981786579,-64.6914440207183,,,,,,,,
"P2050115","BLACK",2026-02-05,"NB","B",18.3462979272008,-64.6914358064532,,,,,,,,
"P2050116","BLACK",2026-02-05,"NB","B",18.3462941553444,-64.6914322022349,,,,,,,,
"P2050117","BLACK",2026-02-05,"NB","B",18.3462956640869,-64.6914301905781,,,,,,,,
"P2050118","BLACK",2026-02-05,"NB","B",18.3463319577277,-64.6914239879698,,,,,,,,
"P2050119","BLACK",2026-02-05,"NB","B",18.3463269285858,-64.6914182882756,,,,,,,,
"P2050120","BLACK",2026-02-05,"NB","B",18.346309158951,-64.6914257481694,,,,,,,,
"P2050121","BLACK",2026-02-05,"NB","B",18.3463624678552,-64.6914743632078,,,,,,,,
"P2050122","BLACK",2026-02-05,"NB","B",18.3463703468442,-64.6914715971798,,,,,,,,
"P2050123","BLACK",2026-02-05,"NB","B",18.3463735319674,-64.6914776321501,,,,,,,,
"P2050124","BLACK",2026-02-05,"NB","B",18.3463739510626,-64.6914818231016,,,,,,,,
"P2050125","BLACK",2026-02-05,"NB","B",18.3463755436242,-64.6914648916572,,,,,,,,
"P2050126","BLACK",2026-02-05,"NB","B",18.3463688381016,-64.6914619579911,,,,,,,,
"P2050127","BLACK",2026-02-05,"NB","B",18.3463387470692,-64.6914544980973,,,,,,,,
"P2050128","BLACK",2026-02-05,"NB","B",18.3463446144015,-64.6914327051491,,,,,,,,
"P2050129","BLACK",2026-02-05,"NB","B",18.3463524933904,-64.6914413385093,,,,,,,,
"P2050130","BLACK",2026-02-05,"NB","B",18.3463312033564,-64.6913996804506,,,,,,,,
"P2050131","BLACK",2026-02-05,"NB","B",18.3463663235307,-64.6914886124432,,,,,,,,
"P2050132","BLACK",2026-02-05,"NB","B",18.3463685866445,-64.6914825774729,,,,,,,,
"P2050133","BLACK",2026-02-05,"NB","B",18.3463571034372,-64.6914876066148,,,,,,,,
"P2050134","BLACK",2026-02-05,"NB","B",18.3463748730719,-64.6915021911263,,,,,,,,
"P2050135","BLACK",2026-02-05,"NB","B",18.3463709335774,-64.6914995927364,,,,,,,,
"P2050136","BLACK",2026-02-05,"NB","B",18.3463545888662,-64.6914658974856,,,,,,,,
"P2050137","BLACK",2026-02-05,"NB","B",18.3463452849537,-64.6914704237133,,,,,,,,
"P2050138","BLACK",2026-02-05,"NB","B",18.3463303651661,-64.6914783865213,,,,,,,,
"P2050139","BLACK",2026-02-05,"NB","B",18.346324916929,-64.6914770454168,,,,,,,,
"P2050140","BLACK",2026-02-05,"NB","B",18.3463185466826,-64.6914777997881,,,,,,,,
"P2050141","BLACK",2026-02-05,"NB","B",18.3463073149323,-64.6914342977107,,,,,,,,
"P2050142","BLACK",2026-02-05,"NB","B",18.3463048003614,-64.6914358064532,,,,,,,,
"P2050143","BLACK",2026-02-05,"NB","B",18.3463099971414,-64.6914201322943,,,,,,,,
"P2050144","BLACK",2026-02-05,"NB","B",18.3463066443801,-64.691408900544,,,,,,,,
"P2050145","BLACK",2026-02-05,"NB","B",18.3463180437684,-64.6914127562195,,,,,,,,
