project_folder,photo_filename,colony_id,class,substrate,area_cm2,perimeter_cm,length_cm,width_cm
nathaniel_Black_NB_2-4-26,P2040005,0,PPOR,M,5.155,14.007,4.844,2.2
nathaniel_Black_NB_2-4-26,P2040011,0,PPOR,M,4.417,9.309,2.99,2.179
nathaniel_Black_NB_2-4-26,P2040013,0,PDIG,M,5.389,12.52,3.321,2.874
nathaniel_Black_NB_2-4-26,P2040015,0,PDIG,M,23.655,19.529,5.698,5.5
nathaniel_Black_NB_2-4-26,P2040017,0,PDIG,M,4.021,8.448,2.668,2.25
nathaniel_Black_NB_2-4-26,P2040019,0,PDIG,M,3.144,7.961,2.877,1.832
nathaniel_Black_NB_2-4-26,P2040021,0,PDIG,M,15.044,16.754,5.2,4.574
nathaniel_Black_NB_2-4-26,P2040023,0,PDIG,M,10.229,14.705,4.994,3.347
nathaniel_Black_NB_2-4-26,P2040025,0,PDIG,M,13.971,24.147,5.826,5.144
nathaniel_Black_NB_2-4-26,P2040028,0,PDIG,M,66.667,46.825,12.276,8.284
nathaniel_Black_NB_2-4-26,P2040030,0,PDIG,M,12.55,20.205,5.184,4.24
nathaniel_Black_NB_2-4-26,P2040031,0,PDIG,U,13.076,17.894,4.756,4.382
nathaniel_Black_NB_2-4-26,P2040033,0,PDIG,M,13.184,16.927,4.876,4.218
nathaniel_Black_NB_2-4-26,P2040035,0,PDIG,M,25.495,20.59,6.988,4.902
nathaniel_Black_NB_2-4-26,P2040037,0,PDIG,M,6.312,16.4,3.507,3.295
nathaniel_Black_NB_2-4-26,P2040039,0,PDIG,M,7.407,13.457,3.715,3.427
nathaniel_Black_NB_2-4-26,P2040041,0,SRAD,D,2.096,7.731,2.111,1.737
nathaniel_Black_NB_2-4-26,P2040043,0,SSID,M,25.215,25.255,6.888,6.502
nathaniel_Black_NB_2-4-26,P2040045,0,SRAD,D,2.708,7.163,2.417,1.647
nathaniel_Black_NB_2-4-26,P2040047,0,SRAD,D,11.854,17.363,4.485,4.069
nathaniel_Black_NB_2-4-26,P2040049,0,PDIG,D,9.636,13.925,4.045,3.629
nathaniel_Black_NB_2-4-26,P2040051,0,PDIG,M,8.233,13.518,3.905,3.77
nathaniel_Black_NB_2-4-26,P2040053,0,PDIG,M,11.061,22.846,5.958,4.092
nathaniel_Black_NB_2-4-26,P2040055,0,SRAD,M,2.979,7.367,2.562,1.633
nathaniel_Black_NB_2-4-26,P2040056,0,PDIG,U,0.885,3.923,1.26,0.981
nathaniel_Black_NB_2-4-26,P2040058,0,SRAD,M,2.086,6.467,1.955,1.435
nathaniel_Black_NB_2-4-26,P2040060,0,PDIG,D,2.986,6.92,2.067,1.98
nathaniel_Black_NB_2-4-26,P2040062,0,PDIG,D,4.179,8.553,2.712,2.328
nathaniel_Black_NB_2-4-26,P2040064,0,SSID,D,9.358,13.345,4.707,3.163
nathaniel_Black_NB_2-4-26,P2040064,1,SRAD,D,0.41,2.773,0.958,0.756
nathaniel_Black_NB_2-4-26,P2040066,0,PDIG,D,2.324,7.196,2.242,1.943
nathaniel_Black_NB_2-4-26,P2040069,0,ORBI,M,4.588,8.918,2.823,2.451
nathaniel_Black_NB_2-4-26,P2040071,0,PDIG,M,10.591,14.397,4.26,4.227
nathaniel_Black_NB_2-4-26,P2040073,0,SSID,M,23.777,21.019,5.888,5.538
nathaniel_Black_NB_2-4-26,P2040073,1,SRAD,M,2.78,6.827,2.136,2.088
nathaniel_Black_NB_2-4-26,P2040075,0,PDIG,M,6.924,11.717,3.982,2.804
nathaniel_Black_NB_2-4-26,P2040075,1,PDIG,,2.838,6.558,2.245,1.634
nathaniel_Black_NB_2-4-26,P2040075,2,PDIG,,1.948,5.366,1.686,1.681
nathaniel_Black_NB_2-4-26,P2040075,3,PDIG,all same genet,1.016,3.829,1.178,1.097
nathaniel_Black_NB_2-4-26,P2040077,0,PDIG,M,9.277,23.317,5.305,4.049
nathaniel_Black_NB_2-4-26,P2040077,1,PDIG,,0.889,3.925,1.285,1.193
nathaniel_Black_NB_2-4-26,P2040077,2,PDIG,all same genet,0.395,2.564,0.895,0.727
nathaniel_Black_NB_2-4-26,P2040079,0,SSID,D,5.442,10.32,3.043,2.717
nathaniel_Black_NB_2-4-26,P2040081,0,PDIG,D,18.721,29.611,6.022,5.951
nathaniel_Black_NB_2-4-26,P2040083,0,SSID,D,16.846,18.389,5.197,4.72
nathaniel_Black_NB_2-4-26,P2040083,1,SSID,,1.886,6.746,2.488,1.282
nathaniel_Black_NB_2-4-26,P2040083,2,SSID,ALL SAME GENET,2.272,7.744,2.853,1.188
nathaniel_Black_NB_2-4-26,P2040085,0,PDIG,D,2.114,6.68,2.124,1.38
nathaniel_Black_NB_2-4-26,P2040087,0,SRAD,D,6.185,10.797,3.046,2.919
nathaniel_Black_NB_2-4-26,P2040088,0,SSID,U,18.173,17.556,5.4,4.785
nathaniel_Black_NB_2-4-26,P2040090,0,SRAD,M,2.489,6.48,2.033,1.693
nathaniel_Black_NB_2-4-26,P2040092,0,PDIG,D,15.799,17.471,5.66,4.14
nathaniel_Black_NB_2-4-26,P2040094,0,PDIG,D,0.873,4.342,1.378,1.002
nathaniel_Black_NB_2-4-26,P2040096,0,PDIG,M,8.11,14.65,3.976,3.364
nathaniel_Black_NB_2-4-26,P2040098,0,SRAD,M,3.082,7.848,2.761,1.853
nathaniel_Black_NB_2-4-26,P2040100,0,SRAD,M,1.41,5.373,1.517,1.498
nathaniel_Black_NB_2-4-26,P2040102,0,PDIG,M,22.831,40.488,9.326,7.623
nathaniel_Black_NB_2-4-26,P2040102,1,PDIG,,9.916,19.886,5.432,3.571
nathaniel_Black_NB_2-4-26,P2040102,2,PDIG,,1.849,7.484,2.317,2.132
nathaniel_Black_NB_2-4-26,P2040102,3,PDIG,,5.707,10.747,3.934,2.455
nathaniel_Black_NB_2-4-26,P2040102,4,PDIG,,2.157,7.296,2.765,1.379
nathaniel_Black_NB_2-4-26,P2040102,5,PDIG,all same genet,3.222,8.17,2.746,2.059
nathaniel_Black_NB_2-4-26,P2040102,6,SRAD,M,1.338,5.077,1.551,1.472
nathaniel_Black_NB_2-4-26,P2040104,0,SRAD,M,2.252,6.349,1.842,1.725
nathaniel_Black_NB_2-4-26,P2040104,1,SSID,M,5.306,9.383,3.116,2.43
nathaniel_Black_NB_2-4-26,P2040106,0,SRAD,,2.55,6.839,2.013,1.848
nathaniel_Black_NB_2-4-26,P2040108,0,SRAD,M,11.368,14.13,4.381,3.767
nathaniel_Black_NB_2-4-26,P2040110,0,SRAD,M,5.549,9.669,3.29,2.326
nathaniel_Black_NB_2-4-26,P2040110,1,SRAD,M,0.469,2.93,1.04,0.746
nathaniel_Black_NB_2-4-26,P2040112,0,SRAD,M,1.848,6.8,1.806,1.785
nathaniel_Black_NB_2-4-26,P2040114,0,SRAD,M,1.732,5.869,1.865,1.476
nathaniel_Black_NB_2-4-26,P2040121,0,SRAD,M,3.681,8.256,2.755,1.942
nathaniel_Black_NB_2-4-26,P2040121,1,SRAD,M,1.559,5.183,1.562,1.382
nathaniel_Black_NB_2-4-26,P2040123,0,SRAD,M,1.365,5.324,1.731,1.204
nathaniel_Black_NB_2-4-26,P2040125,0,SRAD,M,0.634,3.586,1.35,0.745
nathaniel_Black_NB_2-4-26,P2040125,1,SRAD,M,0.943,4.334,1.237,1.18
nathaniel_Black_NB_2-4-26,P2040125,2,SRAD,M,0.723,3.959,1.385,0.98
nathaniel_Black_NB_2-4-26,P2040127,0,SRAD,M,1.545,5.807,1.792,1.488
nathaniel_Black_NB_2-4-26,P2040127,1,SRAD,M,1.337,5.022,1.485,1.462
nathaniel_Black_NB_2-4-26,P2040129,0,PAST,M; only partial measurement - image cut off,23.402,29.473,6.78,6.054
nathaniel_Black_NB_2-4-26,P2040131,0,SRAD,M,1.621,4.932,1.66,1.34
nathaniel_Black_NB_2-4-26,P2040132,0,SRAD,M,11.258,13.411,3.984,3.804
nathaniel_Black_NB_2-4-26,P2040133,0,PDIG,U,7.424,12.701,4.642,2.525
nathaniel_Black_NB_2-4-26,P2040134,0,SRAD,U,5.161,9.44,3.024,2.516
nathaniel_Black_NB_2-4-26,P2040135,0,SRAD,U,2.652,6.433,2.185,1.699
nathaniel_Black_NB_2-4-26,P2040136,0,SRAD,U,4.276,12.888,3.772,2.627
nathaniel_Black_NB_2-4-26,P2040138,0,PDIG,M,3.442,8.883,2.432,2.142
nathaniel_Black_NB_2-4-26,P2040140,0,PDIG,M,34.031,51.186,8.91,7.615
nathaniel_Black_NB_2-4-26,P2040140,1,PDIG,M,1.109,4.064,1.367,1.105
nathaniel_Black_NB_2-4-26,P2040142,0,SSID,M,13.508,15.077,4.998,4.227
nathaniel_Black_NB_2-4-26,P2040144,0,SSID,M,117.116,67.286,17.226,10.53
nathaniel_Black_NB_2-4-26,P2040145,0,SSID,U,109.761,43.447,12.735,11.655
nathaniel_Black_NB_2-4-26,P2040146,0,SSID,U,60.824,31.12,10.638,7.198
nathaniel_Black_NB_2-4-26,P2040147,0,MARE,U,23.115,21.556,6.485,5.284
nathaniel_Black_NB_2-4-26,P2040148,0,SRAD,U,2.808,6.535,2.083,1.832
nathaniel_Black_NB_2-4-26,P2040149,0,SRAD,U,0.889,3.7,1.181,1.074
