"Filename","Camera","Date","Bay","Coral location","Lat","Lon","Species","Count","Classified by","Length (cm)","Width (cm)","Area (cm2)","Measured by","Link"
"P2040311","RED",2026-02-05,"NB","B",18.3555809687823,-64.7011735662818,,,,,,,,
"P2040313","RED",2026-02-05,"NB","B",18.35559329018,-64.7009553015232,,,,,,,,
"P2040314","RED",2026-02-05,"NB","B",18.3555939607322,-64.7009433992207,,,,,,,,
"P2040315","RED",2026-02-05,"NB","B",18.3555943798274,-64.7009354364127,,,,,,,,
"P2040316","RED",2026-02-05,"NB","B",18.3555948827416,-64.7009275574237,,,,,,,,
"P2040317","RED",2026-02-05,"NB","B",18.3555973134935,-64.7008838877082,,,,,,,,
"P2040318","RED",2026-02-05,"NB","B",18.3556900173426,-64.6992408670485,,,,,,,,
"P2040319","RED",2026-02-05,"NB","B",18.3556906878948,-64.699228964746,,,,,,,,
"P2040320","RED",2026-02-05,"NB","B",18.3556916099042,-64.699213122949,,,,,,,,
"P2040321","RED",2026-02-05,"NB","B",18.3556924480945,-64.699197197333,,,,,,,,
"P2040322","RED",2026-02-05,"NB","B",18.3556944597512,-64.6991614904255,,,,,,,,
"P2040323","RED",2026-02-05,"NB","B",18.3556987345219,-64.699086137116,,,,,,,,
"P2040324","RED",2026-02-05,"NB","B",18.3556994050741,-64.6990742348135,,,,,,,,
"P2040325","RED",2026-02-05,"NB","B",18.3557047694921,-64.6989789325744,,,,,,,,
"P2040326","RED",2026-02-05,"NB","B",18.3557066135108,-64.6989471651614,,,,,,,,
"P2040327","RED",2026-02-05,"NB","B",18.3557072840631,-64.6989352628589,,,,,,,,
"P2040328","RED",2026-02-05,"NB","B",18.3557126484811,-64.6988400444388,,,,,,,,
"P2040330","RED",2026-02-05,"NB","B",18.3557316754013,-64.6985027566552,,,,,,,,
"P2040332","RED",2026-02-05,"NB","B",18.3557433262467,-64.6982963103801,,,,,,,,
"P2040333","RED",2026-02-05,"NB","B",18.3557460084558,-64.6982487011701,,,,,,,,
"P2040334","RED",2026-02-05,"NB","B",18.3558361977339,-64.6966493502259,,,,,,,,
"P2040335","RED",2026-02-05,"NB","B",18.3558398019522,-64.6965858992189,,,,,,,,
"P2040336","RED",2026-02-05,"NB","B",18.3558408915997,-64.6965660341084,,,,,,,,
"P2040337","RED",2026-02-05,"NB","B",18.3558456692845,-64.6964827179909,,,,,,,,
"P2040338","RED",2026-02-05,"NB","B",18.3558485191315,-64.6964310854673,,,,,,,,
"P2040339","RED",2026-02-05,"NB","B",18.3558505307883,-64.6963953785598,,,,,,,,
"P2040340","RED",2026-02-05,"NB","B",18.3558517042547,-64.6963755134493,,,,,,,,
"P2040341","RED",2026-02-05,"NB","B",18.3558537159115,-64.6963398065418,,,,,,,,
"P2040342","RED",2026-02-05,"NB","B",18.3558590803295,-64.6962445881218,,,,,,,,
"P2040343","RED",2026-02-05,"NB","B",18.3558740839362,-64.6959787141532,,,,,,,,
"P2040344","RED",2026-02-05,"NB","B",18.3558750059456,-64.6959627885371,,,,,,,,
"P2040345","RED",2026-02-05,"NB","B",18.3558756764978,-64.6959508862346,,,,,,,,
"P2040346","RED",2026-02-05,"NB","B",18.3558765146881,-64.6959350444376,,,,,,,,
"P2040347","RED",2026-02-05,"NB","B",18.3558817114681,-64.6958437655121,,,,,,,,
"P2040348","RED",2026-02-05,"NB","B",18.3558843936771,-64.6957961563021,,,,,,,,
"P2040349","RED",2026-02-05,"NB","B",18.3558915182948,-64.695669170469,,,,,,,,
