project_folder,photo_filename,colony_id,class,substrate,area_cm2,perimeter_cm,length_cm,width_cm
nb_black_2-6-26,P2060334,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060335,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060336,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060337,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060338,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060338,1,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060341,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060342,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060342,1,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060342,2,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060345,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060346,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060347,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060348,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060349,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060350,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060351,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060352,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060353,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060354,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060355,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060356,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060357,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060358,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060359,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060360,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060361,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060362,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060363,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060364,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060365,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060366,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060367,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060368,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060369,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060370,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060371,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060372,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060373,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060374,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060375,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060376,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060377,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060378,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060381,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060382,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060383,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060387,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060388,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060389,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060390,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060391,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060392,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060393,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060394,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060395,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060396,0,SINT,,2.423,8.873,2.077,2.048
nb_black_2-6-26,P2060397,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060398,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060399,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060400,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060401,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060402,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060403,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060404,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060405,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060406,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060407,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060408,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060409,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060410,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060411,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060412,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060413,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060414,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060415,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060416,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060417,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060418,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060419,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060420,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060421,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060423,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060424,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060425,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060426,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060427,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060428,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060429,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060430,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060431,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060432,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060433,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060434,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060435,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060437,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060441,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060444,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060445,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060446,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060447,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060448,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060449,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060450,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060451,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060452,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060453,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060454,0,SSID,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060455,0,SRAD,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060456,0,PAST,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060457,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060458,0,PDIG,,0.0,0.0,0.0,0.0
nb_black_2-6-26,P2060459,0,PDIG,,0.0,0.0,0.0,0.0
