photo_filename,taglab_map_name,export_status,exported_csv_name
P4300627.JPG,P4300627,NOT EXPORTED,
P4300628.JPG,P4300628,NOT EXPORTED,
P4300629.JPG,P4300629,NOT EXPORTED,
P4300630.JPG,P4300630,NOT EXPORTED,
P4300631.JPG,P4300631,NOT EXPORTED,
P4300632.JPG,P4300632,NOT EXPORTED,
P4300633.JPG,P4300633,NOT EXPORTED,
P4300634.JPG,P4300634,NOT EXPORTED,
P4300635.JPG,P4300635,NOT EXPORTED,
P4300636.JPG,P4300636,NOT EXPORTED,
P4300637.JPG,P4300637,NOT EXPORTED,
P4300638.JPG,P4300638,NOT EXPORTED,
P4300639.JPG,P4300639,NOT EXPORTED,
P4300640.JPG,P4300640,NOT EXPORTED,
P4300641.JPG,P4300641,NOT EXPORTED,
P4300642.JPG,P4300642,NOT EXPORTED,
P4300643.JPG,P4300643,NOT EXPORTED,
P4300644.JPG,P4300644,NOT EXPORTED,
P4300645.JPG,P4300645,NOT EXPORTED,
P4300646.JPG,P4300646,NOT EXPORTED,
P4300647.JPG,P4300647,NOT EXPORTED,
P4300648.JPG,P4300648,NOT EXPORTED,
P4300649.JPG,P4300649,NOT EXPORTED,
P4300650.JPG,P4300650,NOT EXPORTED,
P4300651.JPG,P4300651,NOT EXPORTED,
P4300652.JPG,P4300652,NOT EXPORTED,
P4300653.JPG,P4300653,NOT EXPORTED,
P4300654.JPG,P4300654,NOT EXPORTED,
P4300655.JPG,P4300655,NOT EXPORTED,
P4300656.JPG,P4300656,NOT EXPORTED,
P4300657.JPG,P4300657,NOT EXPORTED,
P4300658.JPG,P4300658,NOT EXPORTED,
P4300659.JPG,P4300659,NOT EXPORTED,
P4300660.JPG,P4300660,NOT EXPORTED,
P4300661.JPG,P4300661,NOT EXPORTED,
P4300662.JPG,P4300662,NOT EXPORTED,
P4300663.JPG,P4300663,NOT EXPORTED,
P4300664.JPG,P4300664,NOT EXPORTED,
P4300665.JPG,P4300665,NOT EXPORTED,
P4300666.JPG,P4300666,NOT EXPORTED,
P4300667.JPG,P4300667,NOT EXPORTED,
P4300668.JPG,P4300668,NOT EXPORTED,
P4300669.JPG,P4300669,NOT EXPORTED,
P4300670.JPG,P4300670,NOT EXPORTED,
P4300671.JPG,P4300671,NOT EXPORTED,
P4300672.JPG,P4300672,NOT EXPORTED,
P4300673.JPG,P4300673,NOT EXPORTED,
P4300674.JPG,P4300674,NOT EXPORTED,
P4300675.JPG,P4300675,NOT EXPORTED,
P4300676.JPG,P4300676,NOT EXPORTED,
P4300677.JPG,P4300677,NOT EXPORTED,
P4300678.JPG,P4300678,NOT EXPORTED,
P4300679.JPG,P4300679,NOT EXPORTED,
P4300680.JPG,P4300680,NOT EXPORTED,
P4300681.JPG,P4300681,NOT EXPORTED,
P4300682.JPG,P4300682,NOT EXPORTED,
P4300683.JPG,P4300683,NOT EXPORTED,
P4300684.JPG,P4300684,NOT EXPORTED,
P4300685.JPG,P4300685,NOT EXPORTED,
P4300686.JPG,P4300686,NOT EXPORTED,
P4300687.JPG,P4300687,NOT EXPORTED,
P4300688.JPG,P4300688,NOT EXPORTED,
P4300689.JPG,P4300689,NOT EXPORTED,
P4300690.JPG,P4300690,NOT EXPORTED,
P4300691.JPG,P4300691,NOT EXPORTED,
P4300692.JPG,P4300692,NOT EXPORTED,
P4300693.JPG,P4300693,NOT EXPORTED,
