photo_filename,taglab_map_name,export_status,exported_csv_name
P4300414.JPG,P4300414,NOT EXPORTED,
P4300415.JPG,P4300415,NOT EXPORTED,
P4300416.JPG,P4300416,NOT EXPORTED,
P4300417.JPG,P4300417,NOT EXPORTED,
P4300418.JPG,P4300418,NOT EXPORTED,
P4300419.JPG,P4300419,NOT EXPORTED,
P4300420.JPG,P4300420,NOT EXPORTED,
P4300421.JPG,P4300421,NOT EXPORTED,
P4300422.JPG,P4300422,NOT EXPORTED,
P4300423.JPG,P4300423,NOT EXPORTED,
P4300424.JPG,P4300424,NOT EXPORTED,
P4300425.JPG,P4300425,NOT EXPORTED,
P4300426.JPG,P4300426,NOT EXPORTED,
P4300427.JPG,P4300427,NOT EXPORTED,
P4300428.JPG,P4300428,NOT EXPORTED,
P4300429.JPG,P4300429,NOT EXPORTED,
P4300430.JPG,P4300430,NOT EXPORTED,
P4300431.JPG,P4300431,NOT EXPORTED,
P4300432.JPG,P4300432,NOT EXPORTED,
P4300433.JPG,P4300433,NOT EXPORTED,
P4300434.JPG,P4300434,NOT EXPORTED,
P4300435.JPG,P4300435,NOT EXPORTED,
P4300436.JPG,P4300436,NOT EXPORTED,
P4300437.JPG,P4300437,NOT EXPORTED,
P4300438.JPG,P4300438,NOT EXPORTED,
P4300439.JPG,P4300439,NOT EXPORTED,
P4300440.JPG,P4300440,NOT EXPORTED,
P4300441.JPG,P4300441,NOT EXPORTED,
P4300442.JPG,P4300442,NOT EXPORTED,
P4300443.JPG,P4300443,NOT EXPORTED,
P4300444.JPG,P4300444,NOT EXPORTED,
P4300445.JPG,P4300445,NOT EXPORTED,
P4300446.JPG,P4300446,NOT EXPORTED,
P4300447.JPG,P4300447,NOT EXPORTED,
P4300448.JPG,P4300448,NOT EXPORTED,
P4300449.JPG,P4300449,NOT EXPORTED,
P4300450.JPG,P4300450,NOT EXPORTED,
P4300451.JPG,P4300451,NOT EXPORTED,
P4300452.JPG,P4300452,NOT EXPORTED,
P4300453.JPG,P4300453,NOT EXPORTED,
P4300454.JPG,P4300454,NOT EXPORTED,
P4300455.JPG,P4300455,NOT EXPORTED,
P4300456.JPG,P4300456,NOT EXPORTED,
P4300457.JPG,P4300457,NOT EXPORTED,
P4300458.JPG,P4300458,NOT EXPORTED,
P4300459.JPG,P4300459,NOT EXPORTED,
P4300460.JPG,P4300460,NOT EXPORTED,
P4300461.JPG,P4300461,NOT EXPORTED,
P4300462.JPG,P4300462,NOT EXPORTED,
P4300463.JPG,P4300463,NOT EXPORTED,
P4300464.JPG,P4300464,NOT EXPORTED,
P4300465.JPG,P4300465,NOT EXPORTED,
P4300466.JPG,P4300466,NOT EXPORTED,
P4300467.JPG,P4300467,NOT EXPORTED,
P4300468.JPG,P4300468,NOT EXPORTED,
P4300469.JPG,P4300469,NOT EXPORTED,
P4300470.JPG,P4300470,NOT EXPORTED,
P4300471.JPG,P4300471,NOT EXPORTED,
P4300472.JPG,P4300472,NOT EXPORTED,
P4300473.JPG,P4300473,NOT EXPORTED,
P4300474.JPG,P4300474,NOT EXPORTED,
P4300475.JPG,P4300475,NOT EXPORTED,
P4300476.JPG,P4300476,NOT EXPORTED,
P4300477.JPG,P4300477,NOT EXPORTED,
