photo_filename,taglab_map_name,export_status,exported_csv_name
P4301460.JPG,P4301460,NOT EXPORTED,
P4301461.JPG,P4301461,NOT EXPORTED,
P4301462.JPG,P4301462,NOT EXPORTED,
P4301463.JPG,P4301463,NOT EXPORTED,
P4301464.JPG,P4301464,NOT EXPORTED,
P4301465.JPG,P4301465,NOT EXPORTED,
P4301466.JPG,P4301466,NOT EXPORTED,
P4301467.JPG,P4301467,NOT EXPORTED,
P4301468.JPG,P4301468,NOT EXPORTED,
P4301469.JPG,P4301469,NOT EXPORTED,
P4301470.JPG,P4301470,NOT EXPORTED,
P4301471.JPG,P4301471,NOT EXPORTED,
P4301472.JPG,P4301472,NOT EXPORTED,
P4301473.JPG,P4301473,NOT EXPORTED,
P4301474.JPG,P4301474,NOT EXPORTED,
P4301475.JPG,P4301475,NOT EXPORTED,
P4301476.JPG,P4301476,NOT EXPORTED,
P4301477.JPG,P4301477,NOT EXPORTED,
P4301478.JPG,P4301478,NOT EXPORTED,
P4301479.JPG,P4301479,NOT EXPORTED,
P4301480.JPG,P4301480,NOT EXPORTED,
P4301481.JPG,P4301481,NOT EXPORTED,
P4301482.JPG,P4301482,NOT EXPORTED,
P4301483.JPG,P4301483,NOT EXPORTED,
P4301484.JPG,P4301484,NOT EXPORTED,
P4301485.JPG,P4301485,NOT EXPORTED,
P4301486.JPG,P4301486,NOT EXPORTED,
P4301487.JPG,P4301487,NOT EXPORTED,
P4301488.JPG,P4301488,NOT EXPORTED,
P4301489.JPG,P4301489,NOT EXPORTED,
P4301490.JPG,P4301490,NOT EXPORTED,
P4301491.JPG,P4301491,NOT EXPORTED,
P4301492.JPG,P4301492,NOT EXPORTED,
P4301493.JPG,P4301493,NOT EXPORTED,
P4301494.JPG,P4301494,NOT EXPORTED,
P4301495.JPG,P4301495,NOT EXPORTED,
P4301496.JPG,P4301496,NOT EXPORTED,
P4301497.JPG,P4301497,NOT EXPORTED,
P4301498.JPG,P4301498,NOT EXPORTED,
P4301499.JPG,P4301499,NOT EXPORTED,
