photo_filename,taglab_map_name,export_status,exported_csv_name
P4300820.JPG,P4300820,NOT EXPORTED,
P4300821.JPG,P4300821,NOT EXPORTED,
P4300822.JPG,P4300822,NOT EXPORTED,
P4300823.JPG,P4300823,NOT EXPORTED,
P4300824.JPG,P4300824,NOT EXPORTED,
P4300825.JPG,P4300825,NOT EXPORTED,
P4300826.JPG,P4300826,NOT EXPORTED,
P4300827.JPG,P4300827,NOT EXPORTED,
P4300828.JPG,P4300828,NOT EXPORTED,
P4300829.JPG,P4300829,NOT EXPORTED,
P4300830.JPG,P4300830,NOT EXPORTED,
P4300831.JPG,P4300831,NOT EXPORTED,
P4300832.JPG,P4300832,NOT EXPORTED,
P4300833.JPG,P4300833,NOT EXPORTED,
P4300834.JPG,P4300834,NOT EXPORTED,
P4300835.JPG,P4300835,NOT EXPORTED,
P4300836.JPG,P4300836,NOT EXPORTED,
P4300837.JPG,P4300837,NOT EXPORTED,
P4300838.JPG,P4300838,NOT EXPORTED,
P4300839.JPG,P4300839,NOT EXPORTED,
P4300840.JPG,P4300840,NOT EXPORTED,
P4300841.JPG,P4300841,NOT EXPORTED,
P4300842.JPG,P4300842,NOT EXPORTED,
P4300843.JPG,P4300843,NOT EXPORTED,
P4300844.JPG,P4300844,NOT EXPORTED,
P4300845.JPG,P4300845,NOT EXPORTED,
P4300846.JPG,P4300846,NOT EXPORTED,
P4300847.JPG,P4300847,NOT EXPORTED,
P4300848.JPG,P4300848,NOT EXPORTED,
P4300849.JPG,P4300849,NOT EXPORTED,
P4300850.JPG,P4300850,NOT EXPORTED,
P4300851.JPG,P4300851,NOT EXPORTED,
P4300852.JPG,P4300852,NOT EXPORTED,
P4300853.JPG,P4300853,NOT EXPORTED,
P4300854.JPG,P4300854,NOT EXPORTED,
P4300855.JPG,P4300855,NOT EXPORTED,
P4300856.JPG,P4300856,NOT EXPORTED,
P4300857.JPG,P4300857,NOT EXPORTED,
P4300858.JPG,P4300858,NOT EXPORTED,
P4300859.JPG,P4300859,NOT EXPORTED,
P4300860.JPG,P4300860,NOT EXPORTED,
P4300861.JPG,P4300861,NOT EXPORTED,
P4300862.JPG,P4300862,NOT EXPORTED,
P4300863.JPG,P4300863,NOT EXPORTED,
P4300864.JPG,P4300864,NOT EXPORTED,
P4300865.JPG,P4300865,NOT EXPORTED,
P4300866.JPG,P4300866,NOT EXPORTED,
P4300867.JPG,P4300867,NOT EXPORTED,
P4300868.JPG,P4300868,NOT EXPORTED,
