photo_filename,taglab_map_name,export_status,exported_csv_name
P4290588.JPG,P4290588,NOT EXPORTED,
P4290589.JPG,P4290589,NOT EXPORTED,
P4290590.JPG,P4290590,NOT EXPORTED,
P4290591.JPG,P4290591,NOT EXPORTED,
P4290592.JPG,P4290592,NOT EXPORTED,
P4290593.JPG,P4290593,NOT EXPORTED,
P4290594.JPG,P4290594,NOT EXPORTED,
P4290595.JPG,P4290595,NOT EXPORTED,
P4290596.JPG,P4290596,NOT EXPORTED,
P4290597.JPG,P4290597,NOT EXPORTED,
P4290598.JPG,P4290598,NOT EXPORTED,
P4290599.JPG,P4290599,NOT EXPORTED,
P4290600.JPG,P4290600,NOT EXPORTED,
P4290601.JPG,P4290601,NOT EXPORTED,
P4290602.JPG,P4290602,NOT EXPORTED,
P4290603.JPG,P4290603,NOT EXPORTED,
P4290604.JPG,P4290604,NOT EXPORTED,
P4290605.JPG,P4290605,NOT EXPORTED,
P4290606.JPG,P4290606,NOT EXPORTED,
P4290607.JPG,P4290607,NOT EXPORTED,
P4290608.JPG,P4290608,NOT EXPORTED,
P4290609.JPG,P4290609,NOT EXPORTED,
P4290610.JPG,P4290610,NOT EXPORTED,
P4290611.JPG,P4290611,NOT EXPORTED,
P4290612.JPG,P4290612,NOT EXPORTED,
P4290613.JPG,P4290613,NOT EXPORTED,
P4290614.JPG,P4290614,NOT EXPORTED,
P4290615.JPG,P4290615,NOT EXPORTED,
P4290616.JPG,P4290616,NOT EXPORTED,
P4290617.JPG,P4290617,NOT EXPORTED,
P4290618.JPG,P4290618,NOT EXPORTED,
P4290619.JPG,P4290619,NOT EXPORTED,
P4290620.JPG,P4290620,NOT EXPORTED,
P4290621.JPG,P4290621,NOT EXPORTED,
P4290622.JPG,P4290622,NOT EXPORTED,
P4290623.JPG,P4290623,NOT EXPORTED,
