photo_filename,taglab_map_name,export_status,exported_csv_name
P4300341.JPG,P4300341,NOT EXPORTED,
P4300342.JPG,P4300342,NOT EXPORTED,
P4300343.JPG,P4300343,NOT EXPORTED,
P4300344.JPG,P4300344,NOT EXPORTED,
P4300345.JPG,P4300345,NOT EXPORTED,
P4300346.JPG,P4300346,NOT EXPORTED,
P4300347.JPG,P4300347,NOT EXPORTED,
P4300348.JPG,P4300348,NOT EXPORTED,
P4300349.JPG,P4300349,NOT EXPORTED,
P4300350.JPG,P4300350,NOT EXPORTED,
P4300351.JPG,P4300351,NOT EXPORTED,
P4300352.JPG,P4300352,NOT EXPORTED,
P4300353.JPG,P4300353,NOT EXPORTED,
P4300354.JPG,P4300354,NOT EXPORTED,
P4300355.JPG,P4300355,NOT EXPORTED,
P4300356.JPG,P4300356,NOT EXPORTED,
P4300357.JPG,P4300357,NOT EXPORTED,
P4300358.JPG,P4300358,NOT EXPORTED,
P4300359.JPG,P4300359,NOT EXPORTED,
P4300360.JPG,P4300360,NOT EXPORTED,
P4300361.JPG,P4300361,NOT EXPORTED,
P4300362.JPG,P4300362,NOT EXPORTED,
P4300363.JPG,P4300363,NOT EXPORTED,
P4300364.JPG,P4300364,NOT EXPORTED,
P4300365.JPG,P4300365,NOT EXPORTED,
P4300366.JPG,P4300366,NOT EXPORTED,
P4300367.JPG,P4300367,NOT EXPORTED,
P4300368.JPG,P4300368,NOT EXPORTED,
P4300369.JPG,P4300369,NOT EXPORTED,
P4300370.JPG,P4300370,NOT EXPORTED,
P4300371.JPG,P4300371,NOT EXPORTED,
P4300372.JPG,P4300372,NOT EXPORTED,
P4300373.JPG,P4300373,NOT EXPORTED,
P4300374.JPG,P4300374,NOT EXPORTED,
P4300375.JPG,P4300375,NOT EXPORTED,
P4300376.JPG,P4300376,NOT EXPORTED,
P4300377.JPG,P4300377,NOT EXPORTED,
P4300378.JPG,P4300378,NOT EXPORTED,
P4300379.JPG,P4300379,NOT EXPORTED,
P4300380.JPG,P4300380,NOT EXPORTED,
P4300381.JPG,P4300381,NOT EXPORTED,
P4300382.JPG,P4300382,NOT EXPORTED,
P4300383.JPG,P4300383,NOT EXPORTED,
P4300384.JPG,P4300384,NOT EXPORTED,
P4300385.JPG,P4300385,NOT EXPORTED,
P4300386.JPG,P4300386,NOT EXPORTED,
P4300387.JPG,P4300387,NOT EXPORTED,
P4300388.JPG,P4300388,NOT EXPORTED,
P4300389.JPG,P4300389,NOT EXPORTED,
P4300390.JPG,P4300390,NOT EXPORTED,
P4300391.JPG,P4300391,NOT EXPORTED,
P4300392.JPG,P4300392,NOT EXPORTED,
P4300393.JPG,P4300393,NOT EXPORTED,
P4300394.JPG,P4300394,NOT EXPORTED,
P4300395.JPG,P4300395,NOT EXPORTED,
P4300396.JPG,P4300396,NOT EXPORTED,
P4300397.JPG,P4300397,NOT EXPORTED,
P4300398.JPG,P4300398,NOT EXPORTED,
P4300399.JPG,P4300399,NOT EXPORTED,
P4300400.JPG,P4300400,NOT EXPORTED,
P4300401.JPG,P4300401,NOT EXPORTED,
P4300402.JPG,P4300402,NOT EXPORTED,
P4300403.JPG,P4300403,NOT EXPORTED,
P4300404.JPG,P4300404,NOT EXPORTED,
P4300405.JPG,P4300405,NOT EXPORTED,
P4300406.JPG,P4300406,NOT EXPORTED,
P4300407.JPG,P4300407,NOT EXPORTED,
P4300408.JPG,P4300408,NOT EXPORTED,
P4300409.JPG,P4300409,NOT EXPORTED,
P4300410.JPG,P4300410,NOT EXPORTED,
P4300411.JPG,P4300411,NOT EXPORTED,
P4300412.JPG,P4300412,NOT EXPORTED,
P4300413.JPG,P4300413,NOT EXPORTED,
