photo_filename,taglab_map_name,export_status,exported_csv_name
P4290502.JPG,P4290502,NOT EXPORTED,
P4290503.JPG,P4290503,NOT EXPORTED,
P4290504.JPG,P4290504,NOT EXPORTED,
P4290505.JPG,P4290505,NOT EXPORTED,
P4290506.JPG,P4290506,NOT EXPORTED,
P4290507.JPG,P4290507,NOT EXPORTED,
P4290508.JPG,P4290508,NOT EXPORTED,
P4290509.JPG,P4290509,NOT EXPORTED,
P4290510.JPG,P4290510,NOT EXPORTED,
P4290511.JPG,P4290511,NOT EXPORTED,
P4290512.JPG,P4290512,NOT EXPORTED,
P4290513.JPG,P4290513,NOT EXPORTED,
P4290514.JPG,P4290514,NOT EXPORTED,
P4290515.JPG,P4290515,NOT EXPORTED,
P4290516.JPG,P4290516,NOT EXPORTED,
P4290517.JPG,P4290517,NOT EXPORTED,
P4290518.JPG,P4290518,NOT EXPORTED,
P4290519.JPG,P4290519,NOT EXPORTED,
P4290520.JPG,P4290520,NOT EXPORTED,
P4290521.JPG,P4290521,NOT EXPORTED,
P4290522.JPG,P4290522,NOT EXPORTED,
P4290523.JPG,P4290523,NOT EXPORTED,
P4290524.JPG,P4290524,NOT EXPORTED,
P4290525.JPG,P4290525,NOT EXPORTED,
P4290526.JPG,P4290526,NOT EXPORTED,
P4290527.JPG,P4290527,NOT EXPORTED,
P4290528.JPG,P4290528,NOT EXPORTED,
P4290529.JPG,P4290529,NOT EXPORTED,
P4290530.JPG,P4290530,NOT EXPORTED,
P4290531.JPG,P4290531,NOT EXPORTED,
P4290532.JPG,P4290532,NOT EXPORTED,
P4290533.JPG,P4290533,NOT EXPORTED,
P4290534.JPG,P4290534,NOT EXPORTED,
P4290535.JPG,P4290535,NOT EXPORTED,
P4290536.JPG,P4290536,NOT EXPORTED,
P4290537.JPG,P4290537,NOT EXPORTED,
P4290538.JPG,P4290538,NOT EXPORTED,
P4290539.JPG,P4290539,NOT EXPORTED,
P4290540.JPG,P4290540,NOT EXPORTED,
P4290541.JPG,P4290541,NOT EXPORTED,
P4290542.JPG,P4290542,NOT EXPORTED,
P4290543.JPG,P4290543,NOT EXPORTED,
P4290544.JPG,P4290544,NOT EXPORTED,
P4290545.JPG,P4290545,NOT EXPORTED,
P4290546.JPG,P4290546,NOT EXPORTED,
P4290547.JPG,P4290547,NOT EXPORTED,
P4290548.JPG,P4290548,NOT EXPORTED,
P4290549.JPG,P4290549,NOT EXPORTED,
P4290550.JPG,P4290550,NOT EXPORTED,
P4290551.JPG,P4290551,NOT EXPORTED,
P4290552.JPG,P4290552,NOT EXPORTED,
P4290553.JPG,P4290553,NOT EXPORTED,
P4290554.JPG,P4290554,NOT EXPORTED,
P4290555.JPG,P4290555,NOT EXPORTED,
P4290556.JPG,P4290556,NOT EXPORTED,
P4290557.JPG,P4290557,NOT EXPORTED,
P4290558.JPG,P4290558,NOT EXPORTED,
P4290559.JPG,P4290559,NOT EXPORTED,
P4290560.JPG,P4290560,NOT EXPORTED,
P4290561.JPG,P4290561,NOT EXPORTED,
P4290562.JPG,P4290562,NOT EXPORTED,
P4290563.JPG,P4290563,NOT EXPORTED,
P4290564.JPG,P4290564,NOT EXPORTED,
P4290565.JPG,P4290565,NOT EXPORTED,
P4290566.JPG,P4290566,NOT EXPORTED,
P4290567.JPG,P4290567,NOT EXPORTED,
P4290568.JPG,P4290568,NOT EXPORTED,
P4290569.JPG,P4290569,NOT EXPORTED,
P4290570.JPG,P4290570,NOT EXPORTED,
P4290571.JPG,P4290571,NOT EXPORTED,
P4290572.JPG,P4290572,NOT EXPORTED,
P4290573.JPG,P4290573,NOT EXPORTED,
P4290574.JPG,P4290574,NOT EXPORTED,
P4290575.JPG,P4290575,NOT EXPORTED,
P4290576.JPG,P4290576,NOT EXPORTED,
P4290577.JPG,P4290577,NOT EXPORTED,
P4290578.JPG,P4290578,NOT EXPORTED,
P4290579.JPG,P4290579,NOT EXPORTED,
P4290580.JPG,P4290580,NOT EXPORTED,
P4290581.JPG,P4290581,NOT EXPORTED,
P4290582.JPG,P4290582,NOT EXPORTED,
P4290583.JPG,P4290583,NOT EXPORTED,
P4290584.JPG,P4290584,NOT EXPORTED,
P4290585.JPG,P4290585,NOT EXPORTED,
P4290586.JPG,P4290586,NOT EXPORTED,
