photo_filename,taglab_map_name,export_status,exported_csv_name
P4291004.JPG,P4291004,NOT EXPORTED,
P4291005.JPG,P4291005,NOT EXPORTED,
P4291006.JPG,P4291006,NOT EXPORTED,
P4291007.JPG,P4291007,NOT EXPORTED,
P4291008.JPG,P4291008,NOT EXPORTED,
P4291009.JPG,P4291009,NOT EXPORTED,
P4291010.JPG,P4291010,NOT EXPORTED,
P4291011.JPG,P4291011,NOT EXPORTED,
P4291012.JPG,P4291012,NOT EXPORTED,
P4291013.JPG,P4291013,NOT EXPORTED,
P4291014.JPG,P4291014,NOT EXPORTED,
P4291015.JPG,P4291015,NOT EXPORTED,
P4291016.JPG,P4291016,NOT EXPORTED,
P4291017.JPG,P4291017,NOT EXPORTED,
P4291018.JPG,P4291018,NOT EXPORTED,
P4291019.JPG,P4291019,NOT EXPORTED,
P4291020.JPG,P4291020,NOT EXPORTED,
P4291021.JPG,P4291021,NOT EXPORTED,
P4291022.JPG,P4291022,NOT EXPORTED,
P4291023.JPG,P4291023,NOT EXPORTED,
P4291024.JPG,P4291024,NOT EXPORTED,
P4291025.JPG,P4291025,NOT EXPORTED,
P4291026.JPG,P4291026,NOT EXPORTED,
P4291027.JPG,P4291027,NOT EXPORTED,
P4291028.JPG,P4291028,NOT EXPORTED,
P4291029.JPG,P4291029,NOT EXPORTED,
P4291030.JPG,P4291030,NOT EXPORTED,
P4291031.JPG,P4291031,NOT EXPORTED,
P4291032.JPG,P4291032,NOT EXPORTED,
P4291033.JPG,P4291033,NOT EXPORTED,
P4291034.JPG,P4291034,NOT EXPORTED,
P4291035.JPG,P4291035,NOT EXPORTED,
P4291036.JPG,P4291036,NOT EXPORTED,
P4291037.JPG,P4291037,NOT EXPORTED,
P4291038.JPG,P4291038,NOT EXPORTED,
P4291039.JPG,P4291039,NOT EXPORTED,
P4291040.JPG,P4291040,NOT EXPORTED,
P4291041.JPG,P4291041,NOT EXPORTED,
P4291042.JPG,P4291042,NOT EXPORTED,
P4291043.JPG,P4291043,NOT EXPORTED,
P4291044.JPG,P4291044,NOT EXPORTED,
P4291045.JPG,P4291045,NOT EXPORTED,
P4291046.JPG,P4291046,NOT EXPORTED,
P4291047.JPG,P4291047,NOT EXPORTED,
P4291048.JPG,P4291048,NOT EXPORTED,
P4291049.JPG,P4291049,NOT EXPORTED,
P4291050.JPG,P4291050,NOT EXPORTED,
P4291051.JPG,P4291051,NOT EXPORTED,
P4291052.JPG,P4291052,NOT EXPORTED,
P4291053.JPG,P4291053,NOT EXPORTED,
P4291054.JPG,P4291054,NOT EXPORTED,
P4291055.JPG,P4291055,NOT EXPORTED,
P4291056.JPG,P4291056,NOT EXPORTED,
P4291057.JPG,P4291057,NOT EXPORTED,
P4291058.JPG,P4291058,NOT EXPORTED,
P4291059.JPG,P4291059,NOT EXPORTED,
P4291060.JPG,P4291060,NOT EXPORTED,
P4291061.JPG,P4291061,NOT EXPORTED,
P4291062.JPG,P4291062,NOT EXPORTED,
P4291063.JPG,P4291063,NOT EXPORTED,
P4291064.JPG,P4291064,NOT EXPORTED,
