photo_filename,taglab_map_name,export_status,exported_csv_name
P4300722.JPG,P4300722,NOT EXPORTED,
P4300723.JPG,P4300723,NOT EXPORTED,
P4300724.JPG,P4300724,NOT EXPORTED,
P4300725.JPG,P4300725,NOT EXPORTED,
P4300726.JPG,P4300726,NOT EXPORTED,
P4300727.JPG,P4300727,NOT EXPORTED,
P4300728.JPG,P4300728,NOT EXPORTED,
P4300729.JPG,P4300729,NOT EXPORTED,
P4300730.JPG,P4300730,NOT EXPORTED,
P4300731.JPG,P4300731,NOT EXPORTED,
P4300732.JPG,P4300732,NOT EXPORTED,
P4300733.JPG,P4300733,NOT EXPORTED,
P4300734.JPG,P4300734,NOT EXPORTED,
P4300735.JPG,P4300735,NOT EXPORTED,
P4300736.JPG,P4300736,NOT EXPORTED,
P4300737.JPG,P4300737,NOT EXPORTED,
P4300738.JPG,P4300738,NOT EXPORTED,
P4300739.JPG,P4300739,NOT EXPORTED,
P4300740.JPG,P4300740,NOT EXPORTED,
P4300741.JPG,P4300741,NOT EXPORTED,
P4300742.JPG,P4300742,NOT EXPORTED,
P4300743.JPG,P4300743,NOT EXPORTED,
P4300744.JPG,P4300744,NOT EXPORTED,
P4300745.JPG,P4300745,NOT EXPORTED,
P4300746.JPG,P4300746,NOT EXPORTED,
P4300747.JPG,P4300747,NOT EXPORTED,
P4300748.JPG,P4300748,NOT EXPORTED,
P4300749.JPG,P4300749,NOT EXPORTED,
P4300750.JPG,P4300750,NOT EXPORTED,
P4300751.JPG,P4300751,NOT EXPORTED,
