photo_filename,taglab_map_name,export_status,exported_csv_name
P4AD0683.JPG,P4AD0683,NOT EXPORTED,
P4AD0684.JPG,P4AD0684,NOT EXPORTED,
P4AD0685.JPG,P4AD0685,NOT EXPORTED,
P4AD0686.JPG,P4AD0686,NOT EXPORTED,
P4AD0687.JPG,P4AD0687,NOT EXPORTED,
P4AD0688.JPG,P4AD0688,NOT EXPORTED,
P4AD0689.JPG,P4AD0689,NOT EXPORTED,
P4AD0690.JPG,P4AD0690,NOT EXPORTED,
P4AD0691.JPG,P4AD0691,NOT EXPORTED,
P4AD0692.JPG,P4AD0692,NOT EXPORTED,
P4AD0693.JPG,P4AD0693,NOT EXPORTED,
P4AD0694.JPG,P4AD0694,NOT EXPORTED,
P4AD0695.JPG,P4AD0695,NOT EXPORTED,
P4AD0696.JPG,P4AD0696,NOT EXPORTED,
P4AD0697.JPG,P4AD0697,NOT EXPORTED,
P4AD0698.JPG,P4AD0698,NOT EXPORTED,
P4AD0699.JPG,P4AD0699,NOT EXPORTED,
P4AD0700.JPG,P4AD0700,NOT EXPORTED,
P4AD0701.JPG,P4AD0701,NOT EXPORTED,
P4AD0702.JPG,P4AD0702,NOT EXPORTED,
P4AD0703.JPG,P4AD0703,NOT EXPORTED,
P4AD0704.JPG,P4AD0704,NOT EXPORTED,
P4AD0705.JPG,P4AD0705,NOT EXPORTED,
P4AD0706.JPG,P4AD0706,NOT EXPORTED,
P4AD0707.JPG,P4AD0707,NOT EXPORTED,
P4AD0708.JPG,P4AD0708,NOT EXPORTED,
P4AD0709.JPG,P4AD0709,NOT EXPORTED,
P4AD0710.JPG,P4AD0710,NOT EXPORTED,
P4AD0711.JPG,P4AD0711,NOT EXPORTED,
P4AD0712.JPG,P4AD0712,NOT EXPORTED,
P4AD0713.JPG,P4AD0713,NOT EXPORTED,
P4AD0714.JPG,P4AD0714,NOT EXPORTED,
P4AD0715.JPG,P4AD0715,NOT EXPORTED,
P4AD0716.JPG,P4AD0716,NOT EXPORTED,
P4AD0717.JPG,P4AD0717,NOT EXPORTED,
P4AD0718.JPG,P4AD0718,NOT EXPORTED,
P4AD0719.JPG,P4AD0719,NOT EXPORTED,
P4AD0720.JPG,P4AD0720,NOT EXPORTED,
P4AD0721.JPG,P4AD0721,NOT EXPORTED,
P4AD0722.JPG,P4AD0722,NOT EXPORTED,
P4AD0723.JPG,P4AD0723,NOT EXPORTED,
P4AD0724.JPG,P4AD0724,NOT EXPORTED,
P4AD0725.JPG,P4AD0725,NOT EXPORTED,
P4AD0726.JPG,P4AD0726,NOT EXPORTED,
P4AD0727.JPG,P4AD0727,NOT EXPORTED,
P4AD0728.JPG,P4AD0728,NOT EXPORTED,
P4AD0729.JPG,P4AD0729,NOT EXPORTED,
P4AD0730.JPG,P4AD0730,NOT EXPORTED,
P4AD0731.JPG,P4AD0731,NOT EXPORTED,
