photo_filename,taglab_map_name,export_status,exported_csv_name
P2050001.JPG,P2050001,NOT EXPORTED,
P2050002.JPG,P2050002,NOT EXPORTED,
P2050003.JPG,P2050003,NOT EXPORTED,
P2050004.JPG,P2050004,NOT EXPORTED,
P2050005.JPG,P2050005,NOT EXPORTED,
P2050006.JPG,P2050006,NOT EXPORTED,
P2050007.JPG,P2050007,NOT EXPORTED,
P2050008.JPG,P2050008,NOT EXPORTED,
P2050009.JPG,P2050009,NOT EXPORTED,
P2050010.JPG,P2050010,NOT EXPORTED,
P2050011.JPG,P2050011,NOT EXPORTED,
P2050012.JPG,P2050012,NOT EXPORTED,
P2050013.JPG,P2050013,NOT EXPORTED,
P2050014.JPG,P2050014,NOT EXPORTED,
P2050015.JPG,P2050015,NOT EXPORTED,
P2050016.JPG,P2050016,NOT EXPORTED,
P2050017.JPG,P2050017,NOT EXPORTED,
P2050018.JPG,P2050018,NOT EXPORTED,
P2050019.JPG,P2050019,NOT EXPORTED,
P2050020.JPG,P2050020,NOT EXPORTED,
P2050021.JPG,P2050021,NOT EXPORTED,
P2050022.JPG,P2050022,NOT EXPORTED,
P2050023.JPG,P2050023,NOT EXPORTED,
P2050024.JPG,P2050024,NOT EXPORTED,
P2050025.JPG,P2050025,NOT EXPORTED,
P2050026.JPG,P2050026,NOT EXPORTED,
P2050027.JPG,P2050027,NOT EXPORTED,
P2050028.JPG,P2050028,NOT EXPORTED,
P2050029.JPG,P2050029,NOT EXPORTED,
P2050030.JPG,P2050030,NOT EXPORTED,
P2050031.JPG,P2050031,NOT EXPORTED,
P2050032.JPG,P2050032,NOT EXPORTED,
P2050033.JPG,P2050033,NOT EXPORTED,
