photo_filename,taglab_map_name,export_status,exported_csv_name
P4280757.JPG,P4280757,NOT EXPORTED,
P4280758.JPG,P4280758,NOT EXPORTED,
P4280759.JPG,P4280759,NOT EXPORTED,
P4280760.JPG,P4280760,NOT EXPORTED,
P4280761.JPG,P4280761,NOT EXPORTED,
P4280762.JPG,P4280762,NOT EXPORTED,
P4280763.JPG,P4280763,NOT EXPORTED,
P4280764.JPG,P4280764,NOT EXPORTED,
P4280765.JPG,P4280765,NOT EXPORTED,
P4280766.JPG,P4280766,NOT EXPORTED,
P4280767.JPG,P4280767,NOT EXPORTED,
P4280768.JPG,P4280768,NOT EXPORTED,
P4280769.JPG,P4280769,NOT EXPORTED,
P4280770.JPG,P4280770,NOT EXPORTED,
P4280771.JPG,P4280771,NOT EXPORTED,
P4280772.JPG,P4280772,NOT EXPORTED,
P4280773.JPG,P4280773,NOT EXPORTED,
P4280774.JPG,P4280774,NOT EXPORTED,
P4280775.JPG,P4280775,NOT EXPORTED,
P4280776.JPG,P4280776,NOT EXPORTED,
P4280777.JPG,P4280777,NOT EXPORTED,
P4280778.JPG,P4280778,NOT EXPORTED,
P4280779.JPG,P4280779,NOT EXPORTED,
P4280780.JPG,P4280780,NOT EXPORTED,
P4280781.JPG,P4280781,NOT EXPORTED,
P4280782.JPG,P4280782,NOT EXPORTED,
P4280783.JPG,P4280783,NOT EXPORTED,
P4280784.JPG,P4280784,NOT EXPORTED,
P4280785.JPG,P4280785,NOT EXPORTED,
P4280786.JPG,P4280786,NOT EXPORTED,
P4280787.JPG,P4280787,NOT EXPORTED,
P4280788.JPG,P4280788,NOT EXPORTED,
P4280789.JPG,P4280789,NOT EXPORTED,
P4280790.JPG,P4280790,NOT EXPORTED,
P4280791.JPG,P4280791,NOT EXPORTED,
P4280792.JPG,P4280792,NOT EXPORTED,
P4280793.JPG,P4280793,NOT EXPORTED,
P4280794.JPG,P4280794,NOT EXPORTED,
P4280795.JPG,P4280795,NOT EXPORTED,
P4280796.JPG,P4280796,NOT EXPORTED,
P4280797.JPG,P4280797,NOT EXPORTED,
P4280798.JPG,P4280798,NOT EXPORTED,
P4280799.JPG,P4280799,NOT EXPORTED,
P4280800.JPG,P4280800,NOT EXPORTED,
P4280801.JPG,P4280801,NOT EXPORTED,
P4280802.JPG,P4280802,NOT EXPORTED,
P4280803.JPG,P4280803,NOT EXPORTED,
P4280804.JPG,P4280804,NOT EXPORTED,
P4280805.JPG,P4280805,NOT EXPORTED,
P4280806.JPG,P4280806,NOT EXPORTED,
P4280807.JPG,P4280807,NOT EXPORTED,
P4280808.JPG,P4280808,NOT EXPORTED,
P4280809.JPG,P4280809,NOT EXPORTED,
P4280810.JPG,P4280810,NOT EXPORTED,
P4280811.JPG,P4280811,NOT EXPORTED,
P4280812.JPG,P4280812,NOT EXPORTED,
P4280813.JPG,P4280813,NOT EXPORTED,
P4280814.JPG,P4280814,NOT EXPORTED,
P4280815.JPG,P4280815,NOT EXPORTED,
P4280816.JPG,P4280816,NOT EXPORTED,
P4280817.JPG,P4280817,NOT EXPORTED,
P4280818.JPG,P4280818,NOT EXPORTED,
P4280819.JPG,P4280819,NOT EXPORTED,
