photo_filename,taglab_map_name,export_status,exported_csv_name
P4290666.JPG,P4290666,NOT EXPORTED,
P4290667.JPG,P4290667,NOT EXPORTED,
P4290668.JPG,P4290668,NOT EXPORTED,
P4290669.JPG,P4290669,NOT EXPORTED,
P4290670.JPG,P4290670,NOT EXPORTED,
P4290671.JPG,P4290671,NOT EXPORTED,
P4290672.JPG,P4290672,NOT EXPORTED,
P4290673.JPG,P4290673,NOT EXPORTED,
P4290674.JPG,P4290674,NOT EXPORTED,
P4290675.JPG,P4290675,NOT EXPORTED,
P4290676.JPG,P4290676,NOT EXPORTED,
P4290677.JPG,P4290677,NOT EXPORTED,
P4290678.JPG,P4290678,NOT EXPORTED,
P4290679.JPG,P4290679,NOT EXPORTED,
P4290680.JPG,P4290680,NOT EXPORTED,
P4290681.JPG,P4290681,NOT EXPORTED,
P4290682.JPG,P4290682,NOT EXPORTED,
P4290683.JPG,P4290683,NOT EXPORTED,
P4290684.JPG,P4290684,NOT EXPORTED,
P4290685.JPG,P4290685,NOT EXPORTED,
P4290686.JPG,P4290686,NOT EXPORTED,
P4290687.JPG,P4290687,NOT EXPORTED,
P4290688.JPG,P4290688,NOT EXPORTED,
P4290689.JPG,P4290689,NOT EXPORTED,
P4290690.JPG,P4290690,NOT EXPORTED,
P4290691.JPG,P4290691,NOT EXPORTED,
P4290692.JPG,P4290692,NOT EXPORTED,
P4290693.JPG,P4290693,NOT EXPORTED,
P4290694.JPG,P4290694,NOT EXPORTED,
P4290695.JPG,P4290695,NOT EXPORTED,
P4290696.JPG,P4290696,NOT EXPORTED,
P4290697.JPG,P4290697,NOT EXPORTED,
P4290698.JPG,P4290698,NOT EXPORTED,
P4290699.JPG,P4290699,NOT EXPORTED,
P4290700.JPG,P4290700,NOT EXPORTED,
P4290701.JPG,P4290701,NOT EXPORTED,
P4290702.JPG,P4290702,NOT EXPORTED,
P4290703.JPG,P4290703,NOT EXPORTED,
P4290704.JPG,P4290704,NOT EXPORTED,
P4290705.JPG,P4290705,NOT EXPORTED,
P4290706.JPG,P4290706,NOT EXPORTED,
P4290707.JPG,P4290707,NOT EXPORTED,
P4290708.JPG,P4290708,NOT EXPORTED,
P4290709.JPG,P4290709,NOT EXPORTED,
P4290710.JPG,P4290710,NOT EXPORTED,
P4290711.JPG,P4290711,NOT EXPORTED,
P4290712.JPG,P4290712,NOT EXPORTED,
P4290713.JPG,P4290713,NOT EXPORTED,
P4290714.JPG,P4290714,NOT EXPORTED,
P4290715.JPG,P4290715,NOT EXPORTED,
P4290716.JPG,P4290716,NOT EXPORTED,
P4290717.JPG,P4290717,NOT EXPORTED,
P4290718.JPG,P4290718,NOT EXPORTED,
P4290719.JPG,P4290719,NOT EXPORTED,
P4290720.JPG,P4290720,NOT EXPORTED,
P4290721.JPG,P4290721,NOT EXPORTED,
